Version=1.0.0
Filter;Sample ID;Type;Assay;Lot No;Extraction Method;Extraction Lot;Extraction Material;Color;Note
472035-523025;CN;Negative;AssayCode;LOTID  (2023-01-01);;;;java.awt.Color[r=0,g=255,b=204];;
533015-571020;CN;Negative;AssayCode;LOTID  (2023-01-01);;;;java.awt.Color[r=0,g=255,b=204];;
472035-523025;CN;Negative;AssayCode;LOTID  (2023-01-01);;;;java.awt.Color[r=0,g=255,b=204];;
533015-571020;CN;Negative;AssayCode;LOTID  (2023-01-01);;;;java.awt.Color[r=0,g=255,b=204];;
472035-523025;CN;Negative;AssayCode;LOTID  (2023-01-01);;;;java.awt.Color[r=0,g=255,b=204];;
533015-571020;CN;Negative;AssayCode;LOTID  (2023-01-01);;;;java.awt.Color[r=0,g=255,b=204];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;CP;Positive;AssayCode;LOTID  (2023-01-01);;;;java.awt.Color[r=255,g=204,b=0];;
533015-571020;CP;Positive;AssayCode;LOTID  (2023-01-01);;;;java.awt.Color[r=255,g=204,b=0];;
472035-523025;CP;Positive;AssayCode;LOTID  (2023-01-01);;;;java.awt.Color[r=255,g=204,b=0];;
533015-571020;CP;Positive;AssayCode;LOTID  (2023-01-01);;;;java.awt.Color[r=255,g=204,b=0];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
472035-523025;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
533015-571020;;Empty;;;;;;java.awt.Color[r=220,g=220,b=220];;
