protocol,plate_type,well,row,column,well_title,well_ref,type,id,amplicon,amplicon_title,channel,channel_title
"protocol_3","plate2","A1",1,1,"A1","A1","nc","CN","G1","Gene 1","1","FAM"
"protocol_3","plate2","A1",1,1,"A1","A1","nc","CN","G2","Gene 2","2","HEX"
"protocol_3","plate2","A2",1,2,"A2","A2","nc","CN","G1","Gene 1","1","FAM"
"protocol_3","plate2","A2",1,2,"A2","A2","nc","CN","G2","Gene 2","2","HEX"
"protocol_3","plate2","A3",1,3,"A3","A3","nc","CN","G1","Gene 1","1","FAM"
"protocol_3","plate2","A3",1,3,"A3","A3","nc","CN","G2","Gene 2","2","HEX"
"protocol_3","plate2","A12",1,12,"A12","A12","pc","CP","G1","Gene 1","1","FAM"
"protocol_3","plate2","A12",1,12,"A12","A12","pc","CP","G2","Gene 2","2","HEX"
"protocol_3","plate2","A11",1,11,"A11","A11","pc","CP","G1","Gene 1","1","FAM"
"protocol_3","plate2","A11",1,11,"A11","A11","pc","CP","G2","Gene 2","2","HEX"
"protocol_3","plate2","H1",8,1,"H1","H1","unknown","S1","G1","Gene 1","1","FAM"
"protocol_3","plate2","H1",8,1,"H1","H1","unknown","S1","G2","Gene 2","2","HEX"
"protocol_3","plate2","H2",8,2,"H2","H2","unknown","S2","G1","Gene 1","1","FAM"
"protocol_3","plate2","H2",8,2,"H2","H2","unknown","S2","G2","Gene 2","2","HEX"
"protocol_3","plate2","H3",8,3,"H3","H3","unknown","S3","G1","Gene 1","1","FAM"
"protocol_3","plate2","H3",8,3,"H3","H3","unknown","S3","G2","Gene 2","2","HEX"
"protocol_3","plate2","H4",8,4,"H4","H4","unknown","S4","G1","Gene 1","1","FAM"
"protocol_3","plate2","H4",8,4,"H4","H4","unknown","S4","G2","Gene 2","2","HEX"
"protocol_3","plate2","H5",8,5,"H5","H5","unknown","S5","G1","Gene 1","1","FAM"
"protocol_3","plate2","H5",8,5,"H5","H5","unknown","S5","G2","Gene 2","2","HEX"
"protocol_3","plate2","H6",8,6,"H6","H6","unknown","S6","G1","Gene 1","1","FAM"
"protocol_3","plate2","H6",8,6,"H6","H6","unknown","S6","G2","Gene 2","2","HEX"
"protocol_3","plate2","H7",8,7,"H7","H7","unknown","S7","G1","Gene 1","1","FAM"
"protocol_3","plate2","H7",8,7,"H7","H7","unknown","S7","G2","Gene 2","2","HEX"
"protocol_3","plate2","H8",8,8,"H8","H8","unknown","S8","G1","Gene 1","1","FAM"
"protocol_3","plate2","H8",8,8,"H8","H8","unknown","S8","G2","Gene 2","2","HEX"
"protocol_3","plate2","H9",8,9,"H9","H9","unknown","S9","G1","Gene 1","1","FAM"
"protocol_3","plate2","H9",8,9,"H9","H9","unknown","S9","G2","Gene 2","2","HEX"
"protocol_3","plate2","H10",8,10,"H10","H10","unknown","S10","G1","Gene 1","1","FAM"
"protocol_3","plate2","H10",8,10,"H10","H10","unknown","S10","G2","Gene 2","2","HEX"
